ankle_torque,q_knee,q_ankle,a_tibialis,a_soleus,a_gastrocnemius,fiber_length_tibialis,fiber_length_soleus,fiber_length_gastrocnemius,pennation_angle_tibialis,pennation_angle_soleus,pennation_angle_gastrocnemius,tendon_length_tibialis,tendon_length_soleus,tendon_length_gastrocnemius
-0.14000840868805908,0.0,-25.0,0.01,0.01,0.01,0.09674792499509972,0.0269598722559045,0.030900037585054763,4.997753447165158,50.135999318641446,25.27446204547638,0.22155047254955793,0.24535951195316458,0.3765400186411268
-0.07993334990770844,0.0,-24.000000000000004,0.01,0.01,0.01,0.096058425191957,0.027563025529845166,0.03173505443797927,5.033719176879168,48.65725798371691,24.56471442491245,0.22155006241679362,0.2453664648472328,0.3765453389404058
0.0002668327349940325,0.0,-23.0,0.01,0.01,0.01,0.09536371198339612,0.028182560696680414,0.03257414432484517,5.070484895993405,47.24534975707584,23.89188226652331,0.22154951057062594,0.24537527295619888,0.3765532339795911
0.10233894564684057,0.0,-22.0,0.01,0.01,0.01,0.09466387238359947,0.028817081115437373,0.03341603274678447,5.108069696513545,45.89780638132266,23.254007364512134,0.22154881901105847,0.24538589935799354,0.37656440802364005
0.22581835653257729,0.0,-21.0,0.01,0.01,0.01,0.0939589931722159,0.0294653999736118,0.03425974122853319,5.146493377575099,44.61178640356723,22.649032713086722,0.22154799179669624,0.245398107228485,0.37657926484200166
0.3677988965997114,0.0,-20.0,0.01,0.01,0.01,0.0932491629446074,0.03012653582013691,0.03510472320837264,5.185776374019299,43.38421688440186,22.07476319945855,0.22154703304773585,0.2454114862830894,0.3765977666043752
0.5232761186280339,0.0,-19.0,0.01,0.01,0.01,0.09253447086424646,0.03079967627265657,0.03595088798351144,5.225939842151328,42.21195237626316,21.52891071195329,0.22154594826219076,0.24542551391273318,0.3766194148995486
0.6859359252383923,0.0,-18.0,0.01,0.01,0.01,0.09181500816296527,0.03148412136897412,0.03679851759273937,5.267005612676728,41.0919198746883,21.009192587159436,0.2215447428781645,0.24543963326738238,0.3766433451578303
0.8491211229914972,0.0,-17.0,0.01,0.01,0.01,0.09109086606598354,0.03217922142059355,0.03764811894503343,5.308996321866094,40.021226854380885,20.513440404607852,0.22154342442881533,0.24545332918115478,0.3766684869983071
1.0067366286905426,0.0,-16.0,0.01,0.01,0.01,0.09036213792496149,0.03288432270580628,0.03850026086701415,5.351935332944387,38.99722256142227,20.039686581385496,0.22154200047760997,0.24546618710988302,0.37669373697586145
