ankle_torque,q_knee,q_ankle,a_tibialis,a_soleus,a_gastrocnemius,fiber_length_tibialis,fiber_length_soleus,fiber_length_gastrocnemius,pennation_angle_tibialis,pennation_angle_soleus,pennation_angle_gastrocnemius,tendon_length_tibialis,tendon_length_soleus,tendon_length_gastrocnemius
-0.3292235875903435,0.0,-25.0,0.01,0.01,0.01,0.09671505725361436,0.026966176113625246,0.030919960360043967,5.048504580005264,50.12361095091391,25.268311888757946,0.22159071621498197,0.24535099643222383,0.37652058612826955
-0.20645547713266205,0.0,-24.000000000000004,0.01,0.01,0.01,0.09604949225820779,0.027569316507859716,0.03175453612117312,5.083579436719536,48.64586339251546,24.559568039928653,0.22156633101776368,0.24535819329924813,0.37652643488240134
-0.058816302523473,0.0,-23.0,0.01,0.01,0.01,0.09537788776676676,0.028188816148866397,0.03259299671812521,5.119470749664543,47.234894746528965,23.887785807224898,0.2215426319998383,0.24536724981858157,0.37653505330241027
0.11549266814483888,0.0,-22.0,0.01,0.01,0.01,0.0947003457354941,0.028823298219876958,0.033434106155009656,5.156197302990265,45.88819983776533,23.250965739630736,0.2215196062110284,0.24537810255938045,0.37654710213427384
0.30649053977182555,0.0,-21.0,0.01,0.01,0.01,0.094012316042945,0.029471596498505597,0.034276968162741256,5.194036293425764,44.60290918501265,22.64698777693407,0.22150191378135825,0.2453904894260299,0.3765628953481979
0.4870398663133048,0.0,-20.0,0.01,0.01,0.01,0.09330200306421826,0.030132746712535945,0.03512114079746496,5.233688687876443,43.375936196810606,22.07359210089519,0.2215014937171701,0.2454039813040495,0.376582282659702
0.6833308098915274,0.0,-19.0,0.01,0.01,0.01,0.09258686255289492,0.0308059471214254,0.03596663379664419,5.2742278029531375,42.20413757845304,21.528442427205626,0.22150091440234418,0.24541804648240312,0.3766046597588501
0.8872096421646368,0.0,-18.0,0.01,0.01,0.01,0.09186698800002585,0.03149050048192317,0.03681380273953197,5.315675451798391,41.0844560308434,21.009233939706284,0.22150017903053612,0.245432129546816,0.3766290856490102
1.0903110415051154,0.0,-17.0,0.01,0.01,0.01,0.09114247310442815,0.03218575233835701,0.0376631916593253,5.358054237195518,40.01402368330209,20.513802474076886,0.2214992926754622,0.24544572585784763,0.37665445344881165
1.2851675647284582,0.0,-16.0,0.01,0.01,0.01,0.09041341330150983,0.032891038360748415,0.038515369259610306,5.401387503484256,38.99021822617687,20.040205320817545,0.2214982608329713,0.24545843777695145,0.37667966280646364
1.465989127255435,0.0,-14.999999999999998,0.01,0.01,0.01,0.08967990483208942,0.033605648501582826,0.03937079580428981,5.445699414057453,38.01067554031691,19.586762448767914,0.22149709043730847,0.24547000606429403,0.37670375749449797
1.6290498780270632,0.0,-14.0,0.01,0.01,0.01,0.0889420457077395,0.034328811362348964,0.040229735032161734,5.4910149314239645,37.07326894018756,19.152061011113545,0.22149578897846398,0.24548031532734163,0.3767260135877585
1.772709491215727,0.0,-13.0,0.01,0.01,0.01,0.08819993488748223,0.035059696093248244,0.04109221402209305,5.537359892298916,36.17606951617318,18.734932123980055,0.22149436542070305,0.245489379204201,0.37674597647779884
1.8971465864105836,0.0,-12.000000000000002,0.01,0.01,0.01,0.08745367329617167,0.035797428301115944,0.04195802518335213,5.584760984722391,35.31729913386777,18.334410784975155,0.22149282927767483,0.24549731103276848,0.3767634538443438
2.0039402610056247,0.0,-11.0,0.01,0.01,0.01,0.08670336365409717,0.036541112356374174,0.04282675539899521,5.633245788565298,34.495287350696756,17.94969031571749,0.22149119088718638,0.24550428975034255,0.3767784809274782
2.095553394746159,0.0,-10.0,0.01,0.01,0.01,0.08594911079101215,0.037289857432191056,0.04369783720986838,5.682842789727596,33.70843559074811,17.58007665858309,0.22148946120605686,0.2455105241284043,0.3767912637836808
2.1748549437103293,0.0,-9.0,0.01,0.01,0.01,0.08519102194383397,0.038042800301222215,0.04457060405791269,5.733581394278862,32.95519328380237,17.22494986432743,0.22148765162824194,0.2455162231300293,0.37680211940528124
2.2447129704136826,0.0,-8.0,0.01,0.01,0.01,0.08442920708492678,0.038799123603187276,0.04544434381377679,5.785491939583798,32.23404438309399,16.883734181583176,0.22148577377957535,0.2455215731936112,0.3768114186059209
2.3076909935781678,0.0,-7.0,0.01,0.01,0.01,0.08366377929292745,0.03955806809429252,0.046318344682096446,5.838605701177023,31.54350264439445,16.55587723725684,0.22148383927758677,0.2455267235133345,0.3768195376237293
2.3658595324781855,0.0,-6.000000000000001,0.01,0.01,0.01,0.08289485516977987,0.04031893888840626,0.04719192886000398,5.892954894500206,30.882113119574992,16.2408378316249,0.22148185945321883,0.24553177873321036,0.37682682300797776
2.420704880901693,0.0,-5.0,0.01,0.01,0.01,0.08212255543944888,0.04108110652642696,0.048064475319029014,5.9485726621645565,30.24845731431862,15.938080079183532,0.2214798448988538,0.24553679767211828,0.3768335681339577
2.473118886822278,0.0,-4.0,0.01,0.01,0.01,0.08134700493993695,0.041844004066197926,0.048935431382076046,6.005493095564288,29.64115990225046,15.647072392718789,0.22147780563538122,0.24554179644869525,0.3768400015002712
2.5234481291874507,0.0,-3.0000000000000004,0.01,0.01,0.01,0.08056833393356733,0.04260712143208286,0.049804315961226704,6.063751168942451,29.0588954774066,15.367289298382966,0.22147574996474367,0.24554675445635196,0.37684628369911544
2.5715768004968096,0.0,-2.0,0.01,0.01,0.01,0.079786678234393,0.043369998137606953,0.05067071658584196,6.123382741473489,28.50039438897378,15.098214709052261,0.2214736845216786,0.2455516218809437,0.3768525107684869
2.6170253118588036,0.0,-1.0,0.01,0.01,0.01,0.07900217996495597,0.044132215727327694,0.05153428242956644,6.1844245130828925,27.96444692686006,14.839345619519943,0.22147161370451415,0.2455563272653021,0.3768587215953814
2.6590682958810135,0.0,0.0,0.01,0.01,0.01,0.07821498823412472,0.04489338856770768,0.05239471514961324,6.24691397693351,27.44990680020243,14.590195564485917,0.22146953919739862,0.24556078668135553,0.37686490747925294
2.6968210938482517,0.0,1.0,0.01,0.01,0.01,0.07742525983931024,0.04565315807738199,0.05325175889924504,6.310889360966778,26.95569146706715,14.350297479160364,0.22146745948098467,0.24556490891374697,0.37687102245279047
2.729344775876454,0.0,2.0,0.01,0.01,0.01,0.07663315998018731,0.04641118451944128,0.05410519044828959,6.3763895581479275,26.480782821378664,14.119205816231903,0.2214653693453717,0.2455686032439924,0.37687699340831043
2.755718561452921,0.0,3.0000000000000004,0.01,0.01,0.01,0.07583886296707654,0.04716714183489966,0.054954809968961627,6.44345404542252,26.024225619521257,13.896497915714331,0.22146325942318187,0.24557178381082073,0.3768827294723886
2.775100897164769,0.0,4.0,0.01,0.01,0.01,0.07504255290267126,0.04792071282829691,0.05580043349974918,6.512122791871437,25.58512538138917,13.681774566559936,0.22146111576521688,0.24557437358304637,0.3768881296072624
2.7867872100176,0.0,5.0,0.01,0.01,0.01,0.07424442414868103,0.04867158476166531,0.05664188455669175,6.5824361695535165,25.1626458951442,13.47466037626973,0.22145891964932363,0.24557630790436452,0.3768930910485975
3.0597365412664175,0.0,6.000000000000001,0.01,0.01,0.01,0.07344468260145172,0.049387905633474005,0.057478990352704505,6.654434788452595,24.772880552641862,13.274803026771348,0.22145664659364106,0.24561227159391508,0.37689751299734986
3.4329325370245396,0.0,7.0,0.01,0.01,0.01,0.072643544871159,0.05008754663742768,0.058311575596975834,6.728159476537087,24.404081803166235,13.081872855731822,0.2214542674978578,0.24566195034089153,0.3769013027795747
3.8262076114479773,0.0,8.0,0.01,0.01,0.01,0.07184123949408312,0.050779398661920064,0.05913946029855814,6.803651092393443,24.05039581841079,12.895561636432163,0.22145174776047113,0.24571514050731727,0.37690437790203296
4.240524730040246,0.0,9.0,0.01,0.01,0.01,0.07103800674075397,0.05146295222826615,0.05996245619434437,6.8809504315929875,23.711208078240514,12.715581607204282,0.22144904783071467,0.24577203658563587,0.3769066695185999
4.7038218960870966,0.0,10.0,0.01,0.01,0.01,0.07023409842021013,0.05213771133141792,0.06077226632982912,6.960098124186957,23.385936936720626,12.543362832415358,0.2214461237886361,0.24583283079078078,0.3769164207122487
5.373349392464465,0.0,11.0,0.01,0.01,0.01,0.06942977739237063,0.05280319643198752,0.061521283156079944,7.0411345485352745,23.074029912621793,12.388207491154812,0.2214429282449059,0.24589770780335202,0.37698210528008586
6.078680915554435,0.0,12.000000000000002,0.01,0.01,0.01,0.06862531676831524,0.05345895067053031,0.062260413727287876,7.124099767506517,22.77495992510225,12.238846832870138,0.22143941158276412,0.2459668390966748,0.37705128764405155
6.820766620193719,0.0,13.0,0.01,0.01,0.01,0.06782099890100407,0.05410454365435973,0.06298929069050936,7.209033482855584,22.488222287592766,12.095070658622635,0.22143552344106468,0.24604037775414067,0.3771240991423975
7.600328897652743,0.0,14.0,0.01,0.01,0.01,0.06701711354261852,0.054739576443500366,0.06370755651665436,7.295975069842076,22.213331822172716,11.956679058673643,0.22143121506891333,0.2461184529606089,0.3772006655045401
8.4178285798809,0.0,14.999999999999998,0.01,0.01,0.01,0.06621395661070419,0.055363683848057677,0.06441486636333911,7.384963569080621,21.949821139631048,11.82348131930127,0.22142644110221898,0.24620116728426011,0.3772811038701564
9.2734006561603,0.0,16.0,0.01,0.01,0.01,0.06541182737259592,0.05597653919891995,0.06511089276777124,7.476037840989394,21.697238293349177,11.695294681597415,0.22142116297052472,0.2462885913619447,0.3773655179564342
