,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12
lom_1,4.448595478998526e-05,0.0002627434222880867,2.4321272533355543e-06,0.055351571092698615,0.012058389517112366,-0.2314388939902348,-0.8071430581092361,0.0067928146128240375,-0.32082062341607454,0.41696529223316187,-0.12167798873763627,0.01045214263602254
lom_2,8.278638331541149e-07,4.77979103037494e-06,2.6791713655963384e-05,0.00020554348490207258,0.01953571210283068,0.03774069303060782,-0.003881576379541194,-0.23500637806921174,-0.7081902347387388,-0.45011186845550744,0.2306651824416321,-0.43082520769994803
lom_3,4.783224539011599e-07,-1.1368765544578955e-05,-3.9962278001101605e-05,0.0001004969931188974,-0.06343692559448909,0.04247416575258376,-0.00306472833632126,0.810365396652124,-0.1132991773253144,-0.20537148901373098,-0.45069169712603147,-0.2816612562938892
phio_1,0.00010028368965368644,0.0016844434498422616,-0.0006543994503611378,-0.9974773640241632,0.0003004491452946069,-0.018231773400101237,-0.0681601864932386,0.000753320374821097,0.003615703734006409,-0.006324998968401353,0.0019129367689085404,-0.00016738072023430095
phio_2,7.086206108970332e-05,-6.064758004167079e-05,-0.0004350605567987801,-0.0013029815587947938,-0.28191780900609953,-0.9189851878220539,0.26355659574870316,-0.012085045888397787,-0.04870280661073494,-0.04245591719612841,-0.045666264615318364,0.010893773141532172
phio_3,-0.0005711766600555146,0.00010862360206957537,-0.0005135038318393387,-0.0011227190322820122,0.9548623853840537,-0.2664805857924445,0.09293796148263636,0.09054577580960481,-0.015820881931807123,-0.00758221428564261,0.005850121798052156,0.0067855540067239435
Fom_1,0.1332664868646394,0.9869139278374987,-0.09076254278953928,0.00171056851327631,-8.286513332071795e-05,0.00012345076333209493,0.00039320553853318835,-1.6185858209379796e-06,1.797815860105941e-05,-1.5501557223880332e-05,4.1567727308891005e-06,-3.570104388933188e-07
Fom_2,0.5233942292965837,-0.1478510767130833,-0.8391651980066908,0.0003539332044805837,1.0074373537658286e-05,0.00040997648289546406,-0.00011670142023609612,-5.503263820606165e-05,6.323714655586576e-06,5.431394745440925e-06,1.0915135677896196e-05,4.565432811458769e-06
Fom_3,-0.8416045271877566,0.06432744481104921,-0.5362490526557382,0.000376946543032436,-0.000678759348227591,0.0003590826448531549,-0.00011630370283400545,-8.777914830066988e-05,6.945210098738466e-06,5.961055689482514e-06,1.0723135610054628e-05,3.6326793978333403e-06
lst_1,-2.367176758702526e-05,-0.0001260166934668215,-8.345698743110212e-06,-0.04437211259820851,-0.007698662902753503,0.15531640966822796,0.5152366218998699,-0.009213769346214989,-0.484492886083508,0.660108922309129,-0.1937555814186373,0.016631331569267646
lst_2,2.3254767919636814e-06,-4.694153735752176e-06,-3.0423823907667514e-05,-0.00013266669808359427,-0.020803444884727018,-0.05657095837321607,0.014189486574310205,0.14653512829212734,0.299363165966489,0.3787254218077386,0.4658165241690634,-0.7243319370243516
lst_3,-1.2967763821931724e-05,9.155789391463559e-06,1.6974178241574065e-05,-7.649385130214546e-05,0.0609612247929412,0.002403201029562291,-0.008942586243244996,-0.5080661201035273,0.23604452169922654,-0.016883933706296986,-0.6871793681858565,-0.4580930337359811
