index,eigenvalue,log10_eigenvalue
0,8.191534583058185e-05,-4.086634730898474
1,0.000294289006872771,-3.5312259606107665
2,0.0010491844488318069,-2.979148155211484
3,12.225928522065493,1.0872818523924759
4,569.3300190581255,2.7553640834559987
5,14612.739208469706,4.1647316335672
6,25839.434148251185,4.412282998913494
7,455708.7534786764,5.658687370805348
8,6342193.378686298,6.802239479888485
9,14707665.778991647,7.167543752282706
10,27994190.956476834,7.447067920724914
11,708909804.8524177,8.850590983072095
