run,success,wall_s
0,True,0.8226654529571533
1,True,0.5352475643157959
2,True,0.40386319160461426
3,True,23.379178762435913
4,True,20.78541398048401
5,True,1.3961803913116455
6,True,1.7881159782409668
7,True,0.49645161628723145
8,True,0.6721007823944092
9,True,17.72101926803589
10,True,0.411545991897583
11,True,0.9236085414886475
12,True,1.304797887802124
13,True,0.4901461601257324
14,True,22.96488046646118
15,True,2.4751319885253906
16,True,1.0984437465667725
17,True,0.5838854312896729
18,True,1.8100850582122803
19,True,0.5447752475738525
20,True,0.6430180072784424
21,True,1.1656360626220703
22,True,0.7877013683319092
23,True,22.84803605079651
24,True,0.49215245246887207
25,True,1.0077018737792969
26,True,20.473127841949463
27,True,0.3939208984375
28,True,0.7824661731719971
29,True,1.679365634918213
30,True,20.70202898979187
31,True,0.8423018455505371
32,True,0.8857729434967041
33,True,0.7309467792510986
34,True,0.810150146484375
35,True,0.67177414894104
36,True,0.9883847236633301
37,True,1.95314359664917
38,True,1.2079188823699951
39,True,1.4734206199645996
40,True,1.7925803661346436
41,True,0.965714693069458
42,True,0.3882637023925781
43,True,0.9273319244384766
44,True,1.1311461925506592
45,True,0.726259708404541
46,True,0.5840725898742676
47,True,1.8384144306182861
48,True,2.3469159603118896
49,True,1.077580451965332
