lom_1,lom_2,lom_3,phio_1,phio_2,phio_3,Fom_1,Fom_2,Fom_3,lst_1,lst_2,lst_3
0.14512188867563594,0.08283746262287522,0.10058631182131135,0.06105907678280381,0.2538680921155229,0.1370708376213833,1009.439744243089,4098.44658550377,2280.992472118957,0.22694807783579427,0.2511340256939137,0.381373397090123
0.14512188852419042,0.08338455659187335,0.061098587018164126,0.06105907638243396,0.25386809174041647,0.21731726127242798,1138.1905793391145,4333.439942577774,2814.214204126376,0.22618494885113413,0.25768498693219816,0.37868843101149224
0.14512188723675465,0.08417858293490914,0.09882361520301478,0.06105907666947436,0.2538680916382123,0.13707083936715037,1107.1002894697542,4347.101494913547,2645.6060973658186,0.22589055702338548,0.24870458710915683,0.38182711917463386
0.14512188852862512,0.0825387005376562,0.09672609929391981,0.06105907718805336,0.2538680932242876,0.13707083881613352,1061.8714826306955,4431.371922467696,2751.966740197925,0.22785686050182052,0.25593654277839545,0.38292169139796794
0.14512188853757732,0.08523111903968209,0.09862603072489103,0.06105907877105112,0.2538680909403558,0.13707083818805488,1040.1555701711702,3503.8445626423095,2430.287694965176,0.22595872170198722,0.2542059417089489,0.38300182373589187
0.1440790087219196,0.08202167901820327,0.00941383338715297,0.06431895531676221,0.25769898936393304,1.0088802747097474,1173.1552396678655,4594.079791670631,2891.887839914432,0.228728320728962,0.252431481650814,0.3212653247197677
0.1451218874257969,0.0855432903638133,0.10171011739223698,0.061059077229114925,0.25386809127346993,0.1370708378998611,1025.9280007047414,4694.213248448606,2523.4095205467243,0.22581183886114115,0.2555958453245144,0.3861133655409281
0.14453952383883675,0.013079622425490624,0.09931994598988558,0.06159578694629092,1.1867106470815685,0.13772089109726401,1148.9072771812355,4338.37017218748,2764.5541162445325,0.2278940101516514,0.2128101258796884,0.38487568796679494
0.14512188841052023,0.08326948903072617,0.09795758303482627,0.06105907663096988,0.2538680917593648,0.1370708387517078,1052.180030698274,4144.261590742157,2248.2271688982587,0.22945507137968624,0.2505185550573825,0.38391056176969834
0.14512188832424233,0.08595650979065504,0.09953658863956756,0.06105907750953515,0.2538680908559298,0.1370708379530576,1126.8136025822043,4331.766891730074,2737.234883015082,0.2265635445876641,0.25100269250724316,0.38031352142883706
